x,y,T,c,cp,k
0.995478848,0.195198756,1.083793555,0.000136722,4177.24176,0.640477382
1,0.189624105,1.083890702,0.00071958,4177.249149,0.640511765
0.992883429,0.191891694,1.083809362,0.000433798,4177.24296,0.640482978
0.991877338,0.186595696,1.083894997,0.001889058,4177.249476,0.640513285
1,0.183381121,1.084053743,0.003372408,4177.261606,0.640569438
1,0.173608049,1.084485026,0.011891909,4177.2949,0.640721812
0.991122072,0.177263533,1.084212604,0.008679034,4177.273812,0.640625596
0.990576157,0.16501341,1.084924232,0.02356537,4177.329317,0.640876709
1,0.158269171,1.085514717,0.028350919,4177.376397,0.641084517
0.989568728,0.148496077,1.086089644,0.038111058,4177.423127,0.641286364
1,0.141467718,1.086707064,0.03911356,4177.474287,0.641502598
0.989261966,0.133129053,1.087053881,0.044371849,4177.503466,0.641623818
1,0.126568149,1.087498345,0.042400632,4177.541326,0.641778915
0.989235103,0.119911716,1.087577036,0.044636865,4177.548083,0.641806344
1,0.113284473,1.087867801,0.040881171,4177.573192,0.64190762
0.989267922,0.10659232,1.087817586,0.042572238,4177.56884,0.641890138
1,0.100000125,1.087989891,0.039890572,4177.583802,0.641950108
0.989287846,0.093295392,1.087832849,0.042696582,4177.570162,0.641895452
1,0.086715809,1.087896673,0.041057868,4177.575698,0.641917669
0.989373247,0.079974465,1.087615691,0.044825046,4177.551408,0.641819815
1,0.073432237,1.087544801,0.042572235,4177.545313,0.641795109
0.989590453,0.066722805,1.087098886,0.044351998,4177.507276,0.641639536
1,0.057849624,1.08671087,0.038898984,4177.474605,0.641503929
0.990020809,0.051006776,1.086108984,0.037756596,4177.424714,0.641293146
1,0.040724225,1.08548851,0.027739412,4177.374288,0.641075305
0.990680708,0.033932043,1.084892762,0.02309031,4177.326834,0.64086562
1,0.026736681,1.084540875,0.012829584,4177.299248,0.640741525
1,0.01708322,1.084090127,0.00345934,4177.264395,0.640582303
0.991349007,0.021840362,1.084201862,0.00786752,4177.272984,0.6406218
1,0.010347714,1.083912492,0.000832844,4177.250809,0.640519475
0.991159535,0.013591178,1.083911108,0.002082269,4177.250704,0.640518986
1,0.005788148,1.0838455,0.000137807,4177.245708,0.640495769
0.993889701,0.007513618,1.083830553,0.000373021,4177.244571,0.640490478
0.994456525,0.00473524,1.083808853,0.000157716,4177.242922,0.640482798
1,0.002959355,1.083825655,7.48235E-05,4177.244199,0.640488745
0.00857641,0.004899544,1.001919092,0.942604722,4181.113296,0.606515079
0.006993007,0.002825497,1.001653738,0.924353632,4181.162731,0.606388432
0.013986014,0.00292485,1.00303619,0.862298081,4180.908112,0.60704704
0.028970298,0.005464216,1.005418405,0.821396343,4180.486272,0.608174971
0.027972028,0.003130196,1.005367034,0.768948082,4180.495145,0.608150741
0.034965035,0.003220317,1.006401563,0.729466941,4180.318374,0.608637909
0.021812573,0.005194418,1.004305384,0.857852834,4180.68071,0.607649075
0.020979021,0.00303096,1.004253768,0.812655655,4180.68984,0.60762464
0.014463112,0.004773522,1.003057546,0.89673719,4180.904235,0.607057191
0.013745977,0.007075515,1.002810067,0.936827199,4180.949264,0.606939517
0.035838051,0.00553977,1.006422543,0.786082665,4180.314831,0.608647772
0.041958042,0.003300747,1.00737659,0.69356456,4180.155418,0.609095539
0.034718786,0.008324686,1.006075326,0.859949813,4180.373687,0.608484461
0.027366679,0.008355532,1.004987401,0.89043292,4180.561016,0.607971552
0.020370701,0.007772608,1.003915818,0.914170605,4180.749864,0.607464553
0.014492573,0.011153942,1.002696418,0.95976401,4180.97002,0.606885446
0.006993007,0.197023386,1.001643225,0.925066936,4181.164695,0.606383412
0.013158363,0.194734037,1.002790522,0.915670131,4180.95283,0.60693022
0.013986014,0.196933145,1.003026386,0.865211615,4180.909892,0.60704238
0.042641694,0.005656181,1.007362045,0.754827507,4180.157823,0.609088723
0.048951049,0.003366685,1.008305902,0.660085878,4180.003383,0.609530341
0.041617548,0.00852267,1.007025666,0.835647643,4180.213661,0.608931002
0.038028119,0.012353916,1.00617222,0.901058071,4180.357218,0.608530053
0.031501787,0.013532269,1.005134337,0.927207474,4180.535456,0.608040934
0.023109186,0.013408157,1.003905469,0.946353714,4180.751708,0.607459648
0.016864677,0.018907146,1.002490031,0.971735075,4181.007838,0.606787202
0.020089923,0.194608651,1.004005349,0.87278763,4180.73392,0.607506981
0.020979021,0.196835722,1.004247177,0.815351513,4180.691007,0.60762152
0.015141619,0.19211536,1.003015329,0.937525651,4180.9119,0.607037124
0.02717422,0.19441239,1.005130166,0.835095332,4180.536181,0.608038965
0.027972028,0.196742459,1.005357871,0.771770165,4180.496728,0.608146419
0.034283497,0.194333149,1.006185495,0.797692708,4180.354964,0.608536298
0.034965035,0.196659207,1.006391973,0.732325486,4180.319994,0.608633401
0.049662263,0.005746576,1.008289281,0.723492012,4180.006074,0.609522576
0.055944056,0.003415192,1.009195569,0.628782394,4179.860821,0.609945342
0.048258163,0.00861632,1.007906883,0.810310224,4180.068271,0.609343814
