x,y,u,v,p
0.048336861,0.163251819,0.606711688,-0.00035303,9.225480617
0.055036969,0.170465634,0.509631917,-9.9975E-05,9.205184238
0.062119892,0.175828921,0.430832073,-2.74822E-05,9.178487167
0.068552057,0.180090688,0.363734627,-0.0001852,9.154414266
0.064999944,0.099808687,1.014809665,-4.48146E-06,9.167829125
0.065109253,0.113097555,0.997201635,7.37166E-06,9.167521661
0.065478803,0.125855297,0.946247011,0.000122245,9.165660719
0.066160128,0.135676538,0.885136418,0.00026023,9.163747769
0.07617037,0.080106316,0.974763972,-0.00019209,9.128031718
0.075712108,0.093312067,1.010304759,-6.23754E-05,9.130336556
0.085333055,0.02255913,0.405083114,0.000187501,9.095990057
0.079003344,0.030720062,0.527441503,0.000246707,9.115315202
0.073696274,0.045929359,0.716775082,-3.98127E-06,9.13719192
0.072644642,0.05694784,0.825954151,-0.000184294,9.141174109
0.092533123,0.0199438,0.363859011,0.000214532,9.06992556
0.077331842,0.066412034,0.900733045,-9.28679E-05,9.122916
0.105496027,0.0062025,0.121916059,-9.57515E-06,9.026854188
0.111888112,0.003559649,0.070969733,-3.3256E-05,9.005561686
0.103632696,0.009711985,0.187454746,-1.27734E-05,9.033385386
0.099979838,0.015174583,0.284692735,-3.97941E-06,9.045651627
0.112666781,0.006167381,0.121360739,-8.02555E-05,9.002675073
0.118881119,0.003542972,0.070694259,7.0242E-06,8.980924042
0.075137604,0.185053317,0.281114232,-0.000139329,9.132822245
0.085408965,0.190417427,0.185240758,-3.88724E-05,9.095846478
0.082104615,0.186194653,0.260777903,-0.000190243,9.107759851
0.097277335,0.193958056,0.118798903,-3.62501E-05,9.055336973
0.097902098,0.196529124,0.069116274,-1.24958E-05,9.053398599
0.092531139,0.190600398,0.181783781,-0.000190647,9.071911424
0.104008887,0.193962908,0.11869376,4.56806E-05,9.032849191
0.104895105,0.196535729,0.069001844,2.24006E-05,9.029791816
0.062502345,0.144294142,0.814941487,0.000250726,9.17560652
0.058851639,0.157551338,0.676177793,-0.000597907,9.185671488
0.063523785,0.16551182,0.576167874,-0.000321089,9.175558641
0.069881433,0.169398843,0.525143769,-0.000508865,9.14934683
0.076458165,0.17590411,0.42936114,-0.000388463,9.128548853
0.071292817,0.141466397,0.839646728,0.00038444,9.146881567
0.075754909,0.106572093,1.010381688,4.59805E-05,9.130128316
0.076057081,0.11962127,0.975518384,-5.64989E-05,9.12940556
0.076109421,0.13249084,0.908020831,-0.000193849,9.12983925
0.110645595,0.194081186,0.116529445,3.9369E-05,9.009949133
0.111888112,0.196531765,0.06916633,1.62425E-05,9.005612717
0.086895152,0.075094615,0.951776634,-8.70819E-05,9.092213931
0.086506323,0.087579093,0.999097935,-4.46627E-05,9.09375903
0.086394166,0.100456905,1.01456666,0.000100894,9.093793284
0.089380768,0.029648489,0.511599052,0.000208163,9.084187874
0.085636487,0.041105057,0.66049347,-0.000351658,9.097047772
0.081603437,0.055114044,0.810239399,0.000255127,9.109153351
0.098116365,0.024666399,0.438346133,-6.91908E-05,9.052075302
0.089119411,0.062970163,0.875904375,-0.000220093,9.085855282
0.11110274,0.009322662,0.180463573,-0.000122829,9.008277661
0.107150854,0.013566618,0.256525589,-0.000136699,9.022155031
0.106452785,0.020320436,0.37005406,-0.000274357,9.025347317
0.119563452,0.006222724,0.122453045,2.65888E-05,8.97855218
0.125874126,0.00351534,0.070107207,1.86636E-05,8.956519624
0.117349139,0.010035607,0.193548818,-2.39242E-05,8.986234933
0.126483931,0.006128575,0.120595662,3.77213E-05,8.954357957
0.132867133,0.003480429,0.069378501,3.47318E-06,8.932747508
0.096326397,0.071085229,0.930106003,-5.85164E-05,9.059884788
0.082761315,0.179782186,0.368407211,-0.000268198,9.104679142
0.08937284,0.184234913,0.294827436,-0.000241801,9.082869899
0.09895062,0.190715723,0.179540477,-5.56386E-06,9.049117012
0.095804719,0.186672133,0.252127701,-0.000180845,9.059380849
0.106355176,0.190387734,0.185513328,4.87115E-05,9.025861286
0.071016447,0.153956906,0.718271947,-1.77664E-05,9.142615117
0.077618254,0.165100611,0.581552756,-0.000744005,9.120883497
0.084095974,0.169938601,0.516572226,-0.000298826,9.100033378
0.080640017,0.143885412,0.818621819,-0.000334807,9.112765412
0.087047784,0.113213383,0.996871248,0.000257631,9.090514139
0.096613707,0.10647198,1.010596017,-4.38545E-05,9.059065894
0.086359391,0.125457754,0.948394247,-0.000135328,9.092399709
0.086757714,0.135434411,0.88656348,-6.8865E-05,9.093165822
0.118094431,0.194010318,0.117910106,-1.16401E-05,8.984010527
0.118881119,0.196520095,0.069398776,-3.80526E-06,8.98110699
0.112591648,0.19101031,0.174245089,9.92532E-05,9.003032547
0.096712556,0.082626088,0.983939588,6.27966E-05,9.057949251
0.097120192,0.093885715,1.010463858,-0.000101468,9.056863463
0.104360381,0.076410362,0.957645337,-4.59747E-05,9.031592818
0.133643517,0.00603702,0.118787855,7.3273E-06,8.93022431
0.13986014,0.003452203,0.068850249,-1.82049E-05,8.908903081
0.095881233,0.0362119,0.60080564,0.000345837,9.059868211
0.092261269,0.050732914,0.767217036,-0.000619787,9.070541614
0.104420364,0.030436529,0.522997081,-0.000318261,9.035197763
0.099902708,0.059177579,0.845819871,-0.000323893,9.048553185
0.114136482,0.015164897,0.284745621,-0.000154002,8.997582187
0.112930474,0.024523207,0.436180343,-0.000178981,9.00168482
0.124922425,0.009562082,0.184896788,5.68867E-05,8.959217856
0.121327614,0.01410045,0.265985157,5.40506E-06,8.971985251
0.131904788,0.009431609,0.182396991,7.22385E-05,8.936389669
0.140868015,0.006017829,0.118452238,-3.36758E-05,8.905574368
0.146853147,0.003440278,0.068653154,-3.48291E-06,8.884204469
0.106914519,0.067555277,0.907455971,-0.000249601,9.023517253
0.106890752,0.099717898,1.014275196,9.99405E-06,9.021643688
0.106467847,0.109985466,1.003709697,0.000230464,9.023624531
0.090476009,0.175759039,0.431338889,-0.000294417,9.078285285
0.096702672,0.179950475,0.365584229,-0.00031775,9.055855926
0.103187094,0.184485979,0.29038052,3.62601E-05,9.035714277
0.109487823,0.186786556,0.250191385,0.000244442,9.015308804
0.085160856,0.15669067,0.687426506,0.000208541,9.098249836
0.091615648,0.165359041,0.578432214,0.000354312,9.075798098
0.092245237,0.143092113,0.825768439,-7.79687E-05,9.072874343
