x,y,T,c,cp,k
0.991877338,0.186595696,1.019459816,0.156984963,4178.42374,0.614644975
1,0.183381121,1.019544766,0.191378136,4178.413416,0.614683195
1,0.173608049,1.019803523,0.2774491,4178.382123,0.614799543
0.991122072,0.177263533,1.019647861,0.254706921,4178.40092,0.614729563
0.990576157,0.16501341,1.020173254,0.317514939,4178.337817,0.614965612
1,0.158269171,1.020640374,0.331936734,4178.282526,0.615175125
0.989568728,0.148496077,1.021390124,0.351200223,4178.195376,0.615510704
1,0.141467718,1.022049439,0.350749378,4178.120359,0.615805095
0.989261966,0.133129053,1.02285673,0.353452287,4178.030562,0.616164653
1,0.126568149,1.023450893,0.341243759,4177.965916,0.616428649
0.989235103,0.119911716,1.024017627,0.331673212,4177.90539,0.616679955
1,0.113284473,1.024397821,0.316254685,4177.865407,0.616848269
0.989267922,0.10659232,1.024711637,0.313581796,4177.832779,0.616987031
1,0.100000125,1.024750114,0.308945336,4177.828802,0.617004035
0.989287846,0.093295392,1.024703161,0.31417647,4177.833656,0.616983285
1,0.086715809,1.024387869,0.317439171,4177.866447,0.616843866
0.989373247,0.079974465,1.023993662,0.333912241,4177.907927,0.616669338
1,0.073432237,1.023430454,0.343167373,4177.968119,0.616419576
0.989590453,0.066722805,1.022816501,0.354271283,4178.034984,0.616146759
1,0.057849624,1.021962576,0.350892391,4178.130156,0.615766348
0.990020809,0.051006776,1.021327483,0.350449803,4178.202583,0.6154827
1,0.040724225,1.020547968,0.330291138,4178.293403,0.615133705
0.990680708,0.033932043,1.020076283,0.316561377,4178.349391,0.614922077
1,0.026736681,1.019781291,0.281008749,4178.384802,0.614789551
1,0.01708322,1.019509904,0.200351154,4178.41765,0.614667512
0.991349007,0.021840362,1.019582752,0.250622126,4178.408807,0.614700281
1,0.010347714,1.019413453,0.111778,4178.429386,0.614624111
0.991159535,0.013591178,1.019414752,0.158788845,4178.429228,0.614624696
1,0.005788148,1.019378263,0.064872844,4178.433676,0.614608274
0.993889701,0.007513618,1.01937072,0.081768749,4178.434596,0.614604878
0.994456525,0.00473524,1.019359264,0.062869385,4178.435994,0.614599722
1,0.002959355,1.019367899,0.05295324,4178.434941,0.614603609
0.00857641,0.004899544,1,0.944515745,4181.476862,0.605596674
0.006993007,0.002825497,1,0.926909375,4181.476862,0.605596674
0.013986014,0.00292485,1,0.869359998,4181.476862,0.605596674
0.028970298,0.005464216,1,0.835326015,4181.476862,0.605596674
0.027972028,0.003130196,1,0.787635546,4181.476862,0.605596674
0.034965035,0.003220317,1,0.754496145,4181.476862,0.605596674
0.021812573,0.005194418,1,0.867052455,4181.476862,0.605596674
0.020979021,0.00303096,1,0.825261735,4181.476862,0.605596674
0.014463112,0.004773522,1,0.901792023,4181.476862,0.605596674
0.013745977,0.007075515,1,0.939644166,4181.476862,0.605596674
0.035838051,0.00553977,1,0.805235181,4181.476862,0.605596674
0.041958042,0.003300747,1,0.725163431,4181.476862,0.605596674
0.034718786,0.008324686,1,0.87165291,4181.476862,0.605596674
0.027366679,0.008355532,1,0.898206489,4181.476862,0.605596674
0.020370701,0.007772608,1,0.919186049,4181.476862,0.605596674
0.014492573,0.011153942,1,0.961384615,4181.476862,0.605596674
0.006993007,0.197023386,1,0.927618479,4181.476862,0.605596674
0.013158363,0.194734037,1,0.919351664,4181.476862,0.605596674
0.013986014,0.196933145,1,0.872063487,4181.476862,0.605596674
0.042641694,0.005656181,1,0.779391071,4181.476862,0.605596674
0.048951049,0.003366685,1,0.698369858,4181.476862,0.605596674
0.041617548,0.00852267,1,0.851385336,4181.476862,0.605596674
0.038028119,0.012353916,1,0.909644453,4181.476862,0.605596674
0.031501787,0.013532269,1,0.932497551,4181.476862,0.605596674
0.023109186,0.013408157,1,0.94942492,4181.476862,0.605596674
0.016864677,0.018907146,1,0.972759939,4181.476862,0.605596674
0.020089923,0.194608651,1,0.880402157,4181.476862,0.605596674
0.020979021,0.196835722,1,0.827631125,4181.476862,0.605596674
0.015141619,0.19211536,1,0.940414197,4181.476862,0.605596674
0.02717422,0.19441239,1,0.847319567,4181.476862,0.605596674
0.027972028,0.196742459,1,0.790078792,4181.476862,0.605596674
0.034283497,0.194333149,1,0.815178786,4181.476862,0.605596674
0.034965035,0.196659207,1,0.756953296,4181.476862,0.605596674
0.049662263,0.005746576,1,0.753889432,4181.476862,0.605596674
0.055944056,0.003415192,1,0.673816049,4181.476862,0.605596674
0.048258163,0.00861632,1,0.830275724,4181.476862,0.605596674
0.056722703,0.00593584,1,0.733962106,4181.476862,0.605596674
0.062937063,0.003450716,0.999999999,0.650910502,4181.476862,0.605596674
0.044623039,0.013878619,1,0.907189822,4181.476862,0.605596674
0.037616709,0.018057601,1,0.936236941,4181.476862,0.605596674
0.028060245,0.022366171,1,0.960970679,4181.476862,0.605596674
0.018908728,0.029415888,1,0.978762379,4181.476862,0.605596674
0.020358169,0.04500952,1,0.983391039,4181.476862,0.605596674
